Facility_Name,Reg_No,Address,Facility_Type_RAW,Facility_Type,Level,Bed_Capacity,County
KATANI HOSPITAL LIMITED,15870,P.O BOX 137- MLOLONGO,NURSING HOME,NURSING HOME,LEVEL 3B,116,MACHAKOS
KATHATHANI MEDICAL CENTRE,3834,P.O BOX 56-60400 CHUKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
KATITO MEDICAL CENTRE,17506,P.O BOX 1690-40100 KISUMU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,15,KISUMU
KAUNES MEDICAL CENTRE-KIRIAINI,17654,P.O BOX 41-60103 RUNYENJES,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,THARAKA NITHI
KAVANGOV CLINIC,16495,P.O BOX 938-50300 MUMIAS,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
KAVINGONI MEDICAL CLINIC,4234,P.O BOX 354-01100 MAKUENI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MAKUENI
KAVUTIRI CFW CLINIC,3577,P.O BOX 1630-00606 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
KAWIRIA NURSING HOME,15209,P.O BOX 165-60600 MAUA,NURSING HOME,NURSING HOME,LEVEL 3B,13,MERU
KAWONGO MEDICAL CENTRE,2394,P.O BOX 3261-00506 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
KAYOLE 1 HEALTH CENTRE,GK-008933,P.O BOX 30108-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,27,NAIROBI
KAYOLE HOSPITAL LTD,1636,P.O BOX 67617-00200 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,30,NAIROBI
KAYOLE II SUB-COUNTY HOSPITAL,GK-008732,P.O BOX 30108-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,27,NAIROBI
KCA STUDENTS CLINIC,1207,P.O BOX 56808-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KEBAROTI MISSION DISPENSARY,15163,P.O BOX 96-40413 KEHANCHA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,45,MIGORI
KEDONG MEDICAL CENTRE,15327,P.O BOX 94-00208 NGONG HILLS,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAROK
KEEP SMILING DENTAL CLINIC PARKLANDS,7528,P.O BOX 47337-00100 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
KEFLO MEDICAL CLINIC,14662,P.O BOX 1281-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAJIADO
KEFRI STAFF CLINIC,GK-009140,P.O BOX 20412-00200 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,KIAMBU
KEHA MEDICAL CLINIC,18116,P.O BOX 99-50244 AMAGORO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BUSIA
KELVIN SHAK MEDICAL CLINIC,16635,P.O BOX 106-20117 NAIVASHA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
KEMERA MEDICAL CENTRE,4501,P.O BOX 1077-40200 KISII,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,NYAMIRA
KEMU MEDICAL CENTRE,682,P.O BOX 267-60200 MERU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MERU
KENAFRIC INDUSTRIES LTD CLINIC,1074,P.O BOX 39257-00623 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KENAI SPINE AND ORTHOPAEDICS CENTRE,17718,P.O BOX 20-0220 KIJABE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KENDRIC CLINIC,4177,P.O BOX 35666-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KENDU BAY ADVENTIST HOSPITAL,1278,P.O BOX 20-40301 KENDU BAY,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,170,HOMA BAY
KENDU MEDICAL LABORATORY SERVICE CENTRE,16585,P.O BOX 91-40307 KENDU BAY,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,HOMA BAY
KENGEN GITARU STAFF CLINIC,2374,P.O BOX 205-60100 EMBU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
KENGEN MVUKE CLINIC,2187,P.O BOX 785-20117 NAIVASHA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAKURU
KENGITAH MEDICAL CLINIC,18077,P.O BOX 38-60300 CHUKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,ISIOLO
KENLANDS HEALTH SERVICES NAKURU-MAILI SITA,4417,P.O BOX 10571-20100 NAKURU,NURSING HOME,NURSING HOME,LEVEL 3B,16,NAKURU
KENMAT SWOP CLINIC,2915,P.O BOX 19676-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KENNETH MATIBA DENTAL & EYE HOSPITAL,GK-008670,P.O BOX 376-10200 MURANGA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,30,MURANG'A
KENOL HOSPITAL LTD,1617,P.O BOX 152-01020 KENOL,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,83,MURANG'A
KENTALYA STAFF CLINIC NAIVASHA,139,P.O BOX 928-20117 NAIVASHA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
KENYA AIRWAYS MEDICAL CENTRE - PRIDE CENTRE,7165,P.O BOX 19002-00501 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
KENYA BREWERIES LIMITED HEALTHCARE CLINIC,16327,P.O BOX 7966-40100 KISUMU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
KENYA BREWERIES LTD. CLINIC,1197,P.O BOX 30161-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KENYA COMMUNITY HEALTH CLINIC MCK CIOTHIRAI,14405,P.O BOX 2340-60200 MERU,DISPENSARY,DISPENSARY,LEVEL 2,0,MERU
KENYA CUTTINGS LIMITED,3879,P.O BOX 27774-00506 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
KENYA KAZI SERVICES,14808,P.O BOX 14662-00800 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KENYA NUT DISPENSARY,14391,P.O BOX 1369-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KENYA NUT MEDICAL CLINIC KIBOKO,14450,P.O BOX 1369-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KENYA ORTHODONTIC SERVICES LIMITED,17219,P.O BOX 2442-00621 NAIROBI,DENTAL CENTRE,DENTAL CENTRE,LEVEL 3A,0,NAIROBI
KENYA PIPELINE COMPANY STAFF CLINIC,1215,P.O BOX 73442-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KENYA TEA PACKERS CLINIC,1666,P.O BOX 413-20200 KERICHO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
KENYANUT COMPANY LTD KIAORA CLINIC,15486,P.O BOX 1369-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KENYATTA UNIVERSITY FUNERAL HOME,GK-002394,P.O BOX 43844-00100 NAIROBI,FUNERAL HOME (STAND ALONE),FUNERAL HOME (STAND ALONE),LEVEL 3B,72,NAIROBI
KENYENYA MEDICAL AND DIAGNOSTIC CENTRE,6158,P.O BOX 153-40200 KISII,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,25,KISII
KEPEAKON CLINIC,5370,P.O BOX 54-40303 RANGWE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,HOMA BAY
KERICHO MEDICAL CLINIC,2836,P.O BOX 758-20200 KERICHO,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KERICHO
KERICHO NURSING HOME,379,P.O BOX 510-20200 KERICHO,NURSING HOME,NURSING HOME,LEVEL 3B,157,KERICHO
KERICHO OUTPATIENT MEDICAL CENTRE,3476,P.O BOX 1466-20200 KERICHO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
KERICHO WOMENS CLINIC,7066,P.O BOX 30665-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
KERIDAM DENTAL CLINIC LIMITED,17059,P.O BOX 35454-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
KERIDAM MEDICAL CENTRE,3038,P.O BOX 35454-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
KERINGET NURSING HOME LTD,14472,P.O BOX 36-20106 MOLO,NURSING HOME,NURSING HOME,LEVEL 3B,15,NAKURU
KERIO HOSPITAL LIMITED,3757,P.O BOX 15-30400 KABARNET,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,BARINGO
KERITOR DISPENSARY,1734,P.O BOX PRIVATE BAG-20406 SOTIK,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NYAMIRA
KERNAN MEDICAL CLINIC,5668,P.O BOX 1488-01000 THIKA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
KEROL HEALTH SERVICES CENTRE,1334,P.O BOX 73- KERINGET,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAKURU
KERUGOYA CATHOLIC HEALTH CENTRE,3320,P.O BOX 197-10300 KERUGOYA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,30,KIRINYAGA
KERUGOYA DENTAL CLINIC,6095,P.O BOX 364-10300 KERUGOYA,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,KIRINYAGA
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE,7839,P.O BOX 828-10300 KERUGOYA,COTTAGE HOSPITAL,COTTAGE HOSPITAL,LEVEL 3B,35,KIRINYAGA
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE KIANYAGA,16826,P.O BOX 828-10300 KERUGOYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIRINYAGA
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE TOWN ANNEX,16502,P.O BOX 828-10300 KERUGOYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIRINYAGA
KERUGOYA MEDICAL CENTRE,544,P.O BOX 1068-10300 KERUGOYA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,180,KIRINYAGA
KERUGOYA MEDICAL CENTRE LIMITED-KERUGOYA TOWN CLINIC,15063,P.O BOX 1068-10300 KERUGOYA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIRINYAGA
KESHI MEDICAL CLINIC,14693,P.O BOX 290-00232 RUIRU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KESMA FAMILY HEALTH CLINIC,2245,P.O BOX 1292-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KEUMBU SUB-COUNTY HOSPITAL,GK-010274,P.O BOX 92-40200 KISII,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,40,KISII
KEVOTE CATHOLIC DISPENSARY,16484,P.O BOX 24-60100 EMBU,DISPENSARY,DISPENSARY,LEVEL 2,0,EMBU
KEYIAN SDA MEDICAL CENTRE,2034,P.O BOX 49-40700 KILGORIS,DISPENSARY,DISPENSARY,LEVEL 2,0,NAROK
KHADIJA CENTRE,1618,P.O BOX 99683-80107 MOMBASA,DISPENSARY,DISPENSARY,LEVEL 2,0,MOMBASA
KHAIRAT MEDICAL CENTRE,3703,P.O BOX 909-80108 KILIFI,NURSING HOME,NURSING HOME,LEVEL 3B,10,KILIFI
KHALABA MEDICAL SERVICES,3875,P.O BOX 2211-50200 BUNGOMA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,27,BUNGOMA
KHAMULATI MEDICAL SERVICES,14607,P.O BOX 671-50204 KIMILILI,NURSING HOME,NURSING HOME,LEVEL 3B,11,BUNGOMA
KHAYEGA MEDICAL CLINIC,3569,P.O BOX 248-50104 KHAYEGA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,60,KAKAMEGA
KHAYRUNNISAA MEDICAL CENTRE,17708,P.O BOX 90502-80100 MOMBASA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MOMBASA
KHEYBER MEDICAL CENTRE,3468,P.O BOX 100040-00101 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,NAIROBI
KHOROF HARAR NURSING HOME LIMITED,17662,P.O BOX 318-70200 KHOROF,NURSING HOME,NURSING HOME,LEVEL 3B,30,WAJIR
KIAIREGI MEDICAL CLINIC,5753,P.O BOX 6780-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
KIAMAKIMA COMMUNITY HOSPITAL LIMITED,17700,P.O BOX 419-10303 WANGURU,NURSING HOME,NURSING HOME,LEVEL 3B,63,THARAKA NITHI
KIAMARA HEALTH CENTRE,GK-008684,P.O BOX 69-10200 MURANGA,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
KIAMBAA HEALTHCARE SERVICES,17636,P.O BOX 20359-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
KIAMBERE MEDICAL HEALTHCARE LIMITED,17863,P.O BOX 140-60100 EMBU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,25,EMBU
KIAMBU DIAGNOSTIC IMAGING SERVICES LIMITED,6883,P.O BOX 12437-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
KIAMBU MEDICAL CENTRE,1300,P.O BOX 1241-00900 KIAMBU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
KIAMBU SPECIALIST DOCTORS PLAZA LIMITED,16115,P.O BOX 1968-00900 KIAMBU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
KIAMBUTHIA DISPENSARY,GK-008616,P.O BOX 69-10221 MURAGI,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
KIANDA 42 COMMUNITY DISPENSARY,GK-009200,P.O BOX 30108-00100 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,NAIROBI
KIANDUGUI HEALTHY YOU MEDICAL SERVICES,17213,P.O BOX 169-60402 IGOJI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
KIANDUTU DENTAL CLINIC,7912,P.O BOX 4831-01002 THIKA,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,KIAMBU
KIANJOKOMA MUUNGANO COMMUNITY COTTAGE HOSPITAL,16023,P.O BOX 2162-60100 EMBU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,15,EMBU
KIANYAGA CATHOLIC HEALTH CENTRE,3064,P.O BOX 4-10301 KIANYAGA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,11,KIRINYAGA
KIARATHE DISPENSARY,GK-008771,P.O BOX 69-10200 MURANG\'A,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
KIARUTARA DISPENSARY,GK-008676,P.O BOX 91-01013 GATURA,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
KIASWA INITIATIVE CLINIC,18044,P.O BOX 1787-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KIBAONI BARAKAH MEDICAL CENTRE,15979,P.O BOX 00-80405 KINANGO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KWALE
KIBERA DO HEALTH CENTRE,GK-008111,P.O BOX 30108-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,10,NAIROBI
KIBERA HEALTH CENTRE - AMREF,488,P.O BOX 30125-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,5,NAIROBI
KIBERA HUMAN DEVELOPMENT PROJECT MEDICAL CLINIC,381,P.O BOX 76185-00508 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KIBERA SOUTH HEALTH CENTRE,GK-008115,P.O BOX 20895-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,13,NAIROBI
KIBIRICHIA MEDICAL AND ORTHOPAEDIC CLINIC,17939,P.O BOX 274-60201 KIBIRICHIA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
KIBOMET MEDICAL CENTRE,17278,P.O BOX 3055-30200 KITALE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TRANS NZOIA
KIBOTANY MEDICAL CENTRE,14751,P.O BOX 445-20500 NAROK,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAROK
KIBUGI FUNERAL HOME,198,P.O BOX 25-10230 SAGANA,FUNERAL HOME (STAND ALONE),FUNERAL HOME (STAND ALONE),LEVEL 3B,32,KIRINYAGA
KIBUMBU CFW CLINIC,3752,P.O BOX 1630-00606 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,THARAKA NITHI
KIBWEZI CATHOLIC DISPENSARY,2298,P.O BOX 115-90137 KIBWEZI,DISPENSARY,DISPENSARY,LEVEL 2,0,MAKUENI
KICHAKA SIMBA DISPENSARY,4112,P.O BOX 33-80407 SHIMBA HILLS,DISPENSARY,DISPENSARY,LEVEL 2,0,KWALE
KIDAO FAMILY CLINIC,16435,P.O BOX 51938-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,VIHIGA
KIDNEY SOLUTIONS CLINIC,14259,P.O BOX 2260-20100 NAKURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
KIGORO HEALTH CENTRE,GK-008614,P.O BOX 69-10200 MURANG\\\'A,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,6,MURANG'A
KIGUMO SUB-COUNTY HOSPITAL,GK-008706,P.O BOX 376-10200 MURANGA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,50,MURANG'A
KIHARA CHILD AND FAMILY MEDICAL CENTER,15196,P.O BOX 13015-0400 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KIHOTO MEDICARE CENTRE,6753,P.O BOX 843-20117 NAIVASHA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
KIHOYA HEALTH CENTRE,GK-008699,P.O BOX 51-10202 KANGEMA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,6,MURANG'A
KIHUMBU-INI DISPENSARY,GK-008888,P.O BOX 81-01000 THIKA,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
KIJANAHERI MEDICAL CENTRE,5553,P.O BOX 81-80206 GONGONI,NURSING HOME,NURSING HOME,LEVEL 3B,8,KILIFI
KIJANAHERI MEDICAL CENTRE - MARERENI,15964,P.O BOX 81-80206 GONGONI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,16,KILIFI
KIJIJI MEDICAL CENTRE,3152,P.O BOX 261-20117 NAIVASHA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAKURU
KIKAMBALA CATHOLIC DISPENSARY,3392,P.O BOX 9-80109 MTWAPA,DISPENSARY,DISPENSARY,LEVEL 2,0,KILIFI
KIKOKO MISSION COTTAGE HOSPITAL,10,P.O BOX 600-90130 NUNGUNI,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,54,MAKUENI
KILAGUNI SERENA SAFARI LODGE STAFF CLINIC,1679,P.O BOX 2-90128 MTITO ANDEI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TAITA TAVETA
KILIFI DENTAL CENTRE,4340,P.O BOX 619-80108 KILIFI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,KILIFI
KILIFI PLANTATIONS CLINIC,7479,P.O BOX PRIVATE BAG- KILIFI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KILIFI
KILIMANI CHILDREN\'S CHILDREN CLINIC -DENNIS PRITT BRANCH,15961,P.O BOX 2077-00606 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
KILIMANI DENTAL CLINIC,1068,P.O BOX 298870-00202 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
KILIMANI DIABETES AND ENDOCRINE CNETRE,17789,P.O BOX 432-00517 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KILIMANI HOSPITAL,6191,P.O BOX 7449-40100 KISUMU,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,20,KISUMU
KILIMANJARO MISSION HOSPITAL,17896,P.O BOX 535-00209 LOITOKITOK,MISSION HOSPITAL LEVEL 3,MISSION HOSPITAL LEVEL 3,LEVEL 3A,20,KAJIADO
KILISA MEDICAL CLINIC,11751,P.O BOX 236-90300 WOTE,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MAKUENI
KILOME MNH HOSPITAL,15245,P.O BOX 83-90121 EMALI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,80,MAKUENI
KILOME MNH HOSPITAL - KAMBU SATELLITE,15941,P.O BOX 83-90121 EMALI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,6,MAKUENI
KILOME MNH HOSPITAL - MATILIKU SATELLITE,15942,P.O BOX 83-90121 EMALI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,MAKUENI
KILOME MNH HOSPITAL - MAKINDU SATELLITE,15943,P.O BOX 83-90121 EMALI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,9,MAKUENI
KIMA MISSION HOSPITAL,2864,P.O BOX 410-40100 KISUMU,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,30,KAKAMEGA
KIMAIYO & ASSOCIATE HEALTH CARE CLINIC,17574,P.O BOX 2600-30100 ELDORET,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,UASIN GISHU
KIMAKIU HEALTHCARE SERVICES DISPENSARY,2090,P.O BOX 55-90132 SALAMA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MAKUENI
KIMANA OMEGA EYE AND MEDICAL CLINIC,15538,P.O BOX 28-00209 LOITOKITOK,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KAJIADO
KIMANDI SUPERLIFE MEDICAL CLINIC,17311,P.O BOX 227-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
KIMANGARU CFW CLINIC,3162,P.O BOX 1630-00606 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
KIMATHI MEDICAL SERVICES,4252,P.O BOX 1068-10300 KERUGOYA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIRINYAGA
KIMATHI MEDICAL SERVICES - MAIN HOSPITAL,15185,P.O BOX 1068-10300 KERUGOYA,NURSING HOME,NURSING HOME,LEVEL 3B,76,KIRINYAGA
KIMATHI MEDICAL SERVICES KARABA,17756,P.O BOX 30-10300 KERUGOYA,NURSING HOME,NURSING HOME,LEVEL 3B,60,EMBU
KIMATHI STREET MEDICAL CENTRE LTD,3080,P.O BOX 9721-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
KIMATHI UNIVERSITY COLLEGE OF TECHNOLOGY,2540,P.O BOX 657-10100 NYERI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NYERI
KIMBAR MEDICAL CENTRE LTD,12454,P.O BOX 234-30700 ITEN,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,ELGEYO/ MARAKWET
KIMBILIO HOSPICE,2455,P.O BOX 4053-30100 ELDORET,NURSING HOME,NURSING HOME,LEVEL 3B,26,UASIN GISHU
KIMBIMBI MEDICAL CENTRE,6341,P.O BOX 182-10303 WANGURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIRINYAGA
KIMBO HEALTH CARE CENTRE,4038,P.O BOX 52476-00200 KIAMBU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
KIMENDE ORTHODOX MISSION HEALTH CENTRE,1675,P.O BOX 93-00221 MATATHIA,MATERNITY HOME,MATERNITY HOME,LEVEL 3B,10,KIAMBU
KIMININI COTTAGE MISSION HOSPITAL,218,P.O BOX 3936-30200 KITALE,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,33,TRANS NZOIA
KIMIST HEALTHCARE COMPANY LIMTED,17088,P.O BOX 2282-20200 KERICHO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
KIMLEA MEDICAL CLINIC,1266,P.O BOX 140-00217 LIMURU,DISPENSARY,DISPENSARY,LEVEL 2,0,KIAMBU
KIMWANI MEDICAL SERVICES,18006,P.O BOX 61-30301 NANDI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NANDI
KINANI FAMILY DENTAL AND MEDICAL CARE,4188,P.O BOX 3700-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
KINARA HOSPITAL,15140,P.O BOX 143-40500 NYAMIRA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,47,NYAMIRA
KIND MEDICAL SERVICES,17688,P.O BOX 769-60200 MERU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
KING DAVID\'S HOSPITAL,14556,P.O BOX 424-00202 NAIROBI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,28,KAJIADO
